Time [s],Load Cell 1 [kg],Load Cell 2 [kg],Motor 1 Position [mm],Motor 2 Position [mm],Motor 3 Position [mm],Motor 4 Position [mm]
441.164,-0.8936490416526794,0.4487665593624115,0,0,0,0
441.264,-0.8443793058395386,0.5357457995414734,0,0,0,0
441.364,-0.7866718173027039,0.6173713803291321,0,0,0,0
441.464,-0.7211032509803772,0.6928276419639587,0,0,0,0
441.564,-0.6483287215232849,0.7613605260848999,0,0,0,0
441.664,-0.5690755248069763,0.8222852349281311,0,0,0,0
441.764,-0.4841356575489044,0.8749929666519165,0,0,0,0
441.864,-0.3943578600883484,0.9189569354057312,0,0,0,0
441.964,-0.300639271736145,0.9537379145622253,0,0,0,0
442.064,-0.20391643047332764,0.9789882898330688,0,0,0,0
442.164,-0.10515588521957397,0.9944557547569275,0,0,0,0
442.264,-0.005344524048268795,0.9999856948852539,0,0,0,0
442.364,0.09452024102210999,0.9955229163169861,0,0,0,0
442.464,0.1934404820203781,0.981112003326416,0,0,0,0
442.564,0.29042768478393555,0.956896960735321,0,0,0,0
442.664,0.38451269268989563,0.9231197237968445,0,0,0,0
442.764,0.47475528717041016,0.8801178336143494,0,0,0,0
442.864,0.5602537393569946,0.8283210396766663,0,0,0,0
442.964,0.6401535868644714,0.7682469487190247,0,0,0,0
443.064,0.713656485080719,0.7004958391189575,0,0,0,0
443.164,0.7800278663635254,0.6257447600364685,0,0,0,0
443.264,0.8386045694351196,0.5447406768798828,0,0,0,0
443.364,0.8888011574745178,0.45829305052757263,0,0,0,0
443.464,0.9301160573959351,0.3672657608985901,0,0,0,0
443.564,0.9621363878250122,0.2725684344768524,0,0,0,0
443.664,0.9845422506332397,0.17514735460281372,0,0,0,0
443.764,0.9971096515655518,0.07597603648900986,0,0,0,0
443.864,0.9997130632400513,-0.023954488337039948,0,0,0,0
443.964,0.9923264384269714,-0.12364564090967178,0,0,0,0
444.064,0.975023627281189,-0.22210122644901276,0,0,0,0
444.164,0.9479774832725525,-0.3183373510837555,0,0,0,0
444.264,0.9114583134651184,-0.4113923907279968,0,0,0,0
444.364,0.8658310770988464,-0.5003364086151123,0,0,0,0
444.464,0.8115516901016235,-0.5842806696891785,0,0,0,0
444.564,0.749162495136261,-0.6623862385749817,0,0,0,0
444.664,0.6792870759963989,-0.733872652053833,0,0,0,0
444.764,0.6026235818862915,-0.7980256080627441,0,0,0,0
444.864,0.5199381113052368,-0.8542039394378662,0,0,0,0
444.964,0.4320569932460785,-0.9018462896347046,0,0,0,0
445.064,0.33985838294029236,-0.940476655960083,0,0,0,0
445.164,0.24426358938217163,-0.9697088599205017,0,0,0,0
445.264,0.1462278962135315,-0.9892509579658508,0,0,0,0
445.364,0.04673096910119057,-0.9989075064659119,0,0,0,0
445.464,-0.053232934325933456,-0.998582124710083,0,0,0,0
445.564,-0.1526648849248886,-0.9882780313491821,0,0,0,0
445.664,-0.25057128071784973,-0.9680981636047363,0,0,0,0
445.764,-0.3459737300872803,-0.9382442235946655,0,0,0,0
445.864,-0.43791893124580383,-0.8990144729614258,0,0,0,0
445.964,-0.525488018989563,-0.8508009910583496,0,0,0,0
446.064,-0.6078060269355774,-0.7940855622291565,0,0,0,0
446.164,-0.6840502023696899,-0.7294349074363708,0,0,0,0
446.264,-0.7534587979316711,-0.6574950814247131,0,0,0,0
446.364,-0.8153381943702698,-0.5789850354194641,0,0,0,0
446.464,-0.8690699338912964,-0.4946891963481903,0,0,0,0
446.564,-0.9141172170639038,-0.4054500162601471,0,0,0,0
446.664,-0.9500297904014587,-0.3121592104434967,0,0,0,0
446.764,-0.9764488339424133,-0.21574904024600983,0,0,0,0
446.864,-0.9931103587150574,-0.1171829104423523,0,0,0,0
446.964,-0.9998478293418884,-0.017445780336856842,0,0,0,0
447.064,-0.9965938925743103,0.08246568590402603,0,0,0,0
447.164,-0.9833811521530151,0.18155308067798615,0,0,0,0
447.264,-0.9603415727615356,0.2788262367248535,0,0,0,0
447.364,-0.9277054071426392,0.3733130991458893,0,0,0,0
447.464,-0.8857988119125366,0.4640694856643677,0,0,0,0
447.564,-0.8350405097007751,0.5501884818077087,0,0,0,0
447.664,-0.7759377360343933,0.6308095455169678,0,0,0,0
447.764,-0.7090811133384705,0.705126941204071,0,0,0,0
447.864,-0.6351386904716492,0.7723981142044067,0,0,0,0
447.964,-0.5548494458198547,0.8319507837295532,0,0,0,0
448.064,-0.46901559829711914,0.883189857006073,0,0,0,0
448.164,-0.3784949779510498,0.9256033301353455,0,0,0,0
448.264,-0.2841920554637909,0.9587673544883728,0,0,0,0
448.364,-0.1870492696762085,0.9823505282402039,0,0,0,0
448.464,-0.08803731948137283,0.9961171746253967,0,0,0,0
448.564,0.011854386888444424,0.9999297261238098,0,0,0,0
448.664,0.11162763088941574,0.9937500953674316,0,0,0,0
448.764,0.21028539538383484,0.9776400327682495,0,0,0,0
448.864,0.30684179067611694,0.9517605304718018,0,0,0,0
448.964,0.400331974029541,0.9163702130317688,0,0,0,0
449.064,0.4898216724395752,0.8718226552009583,0,0,0,0
449.164,0.5744166374206543,0.8185631036758423,0,0,0,0
449.264,0.653271496295929,0.7571237087249756,0,0,0,0
449.364,0.7255983352661133,0.6881185173988342,0,0,0,0
449.464,0.7906743288040161,0.6122369766235352,0,0,0,0
449.564,0.8478491902351379,0.5302374958992004,0,0,0,0
449.664,0.8965516090393066,0.4429393410682678,0,0,0,0
449.764,0.9362948536872864,0.3512149751186371,0,0,0,0
449.864,0.9666818380355835,0.2559809386730194,0,0,0,0
Time [s],Load Cell 1 [kg],Load Cell 2 [kg],Motor 1 Position [mm],Motor 2 Position [mm],Motor 3 Position [mm],Motor 4 Position [mm]
468.485,0.8740676641464233,0.4858042001724243,0,0,0,0
468.585,0.9182028770446777,0.3961104154586792,0,0,0,0
468.685,0.9531626105308533,0.30245837569236755,0,0,0,0
468.785,0.9785974621772766,0.2057838886976242,0,0,0,0
468.885,0.9942533373832703,0.10705303400754929,0,0,0,0
468.985,0.999973714351654,0.007252402603626251,0,0,0,0
469.085,0.9957014918327332,-0.09262070059776306,0,0,0,0
469.185,0.981479287147522,-0.1915682554244995,0,0,0,0
469.285,0.9574493169784546,-0.28860148787498474,0,0,0,0
469.385,0.9238516688346863,-0.3827507495880127,0,0,0,0
469.485,0.881022036075592,-0.4730752408504486,0,0,0,0
469.585,0.829388439655304,-0.558672308921814,0,0,0,0
469.685,0.7694669365882874,-0.6386866569519043,0,0,0,0
469.785,0.7018561363220215,-0.7123187184333801,0,0,0,0
469.885,0.6272318363189697,-0.7788326144218445,0,0,0,0
469.985,0.5463396906852722,-0.837563693523407,0,0,0,0
470.085,0.45998796820640564,-0.8879251480102539,0,0,0,0
470.185,0.3690396845340729,-0.9294136166572571,0,0,0,0
470.285,0.2744036018848419,-0.9616146087646484,0,0,0,0
470.385,0.1770254522562027,-0.9842062592506409,0,0,0,0
470.485,0.07787830382585526,-0.99696284532547,0,0,0,0
470.585,-0.022047076374292374,-0.999756932258606,0,0,0,0
470.685,-0.12175214290618896,-0.9925605058670044,0,0,0,0
470.785,-0.2202405482530594,-0.975445568561554,0,0,0,0
470.885,-0.3165281116962433,-0.9485831260681152,0,0,0,0
470.985,-0.4096526503562927,-0.9122415781021118,0,0,0,0
471.085,-0.4986836016178131,-0.8667840957641602,0,0,0,0
471.185,-0.5827312469482422,-0.8126649260520935,0,0,0,0
471.285,-0.6609557271003723,-0.7504249215126038,0,0,0,0
471.385,-0.7325752973556519,-0.6806859970092773,0,0,0,0
471.485,-0.7968744039535522,-0.6041450500488281,0,0,0,0
471.585,-0.8532103896141052,-0.5215669274330139,0,0,0,0
471.685,-0.901020348072052,-0.43377685546875,0,0,0,0
471.785,-0.939826488494873,-0.3416520953178406,0,0,0,0
471.885,-0.9692410826683044,-0.24611327052116394,0,0,0,0
471.985,-0.988970160484314,-0.14811503887176514,0,0,0,0
472.085,-0.9988165497779846,-0.04863671585917473,0,0,0,0
472.185,-0.9986818432807922,0.051327627152204514,0,0,0,0
472.285,-0.9885674715042114,0.15077906847000122,0,0,0,0
472.385,-0.9685744643211365,0.24872377514839172,0,0,0,0
472.485,-0.9389025568962097,0.3441830277442932,0,0,0,0
472.585,-0.8998483419418335,0.43620288372039795,0,0,0,0
472.685,-0.8518020510673523,0.5238637924194336,0,0,0,0
472.785,-0.7952437400817871,0.6062898635864258,0,0,0,0
472.885,-0.7307386994361877,0.6826573014259338,0,0,0,0
472.985,-0.6589314341545105,0.7522029876708984,0,0,0,0
473.085,-0.5805395841598511,0.8142320513725281,0,0,0,0
473.185,-0.4963464140892029,0.8681245446205139,0,0,0,0
473.285,-0.4071933329105377,0.9133419990539551,0,0,0,0
473.385,-0.31397122144699097,0.9494324922561646,0,0,0,0
